Results for dataset: examples/data/A Machine Learning-Based Classification and Prediction Technique for DDoS Attacks/test.csv
Accuracy: 0.84761
Total Final Rules: 3182

--- Top Active Rules ---
Rule2781_Class3: Used 12, Errors 0 (0.00%)
Rule3026_Class3: Used 12, Errors 0 (0.00%)
Rule3173_Class6: Used 12, Errors 0 (0.00%)
Rule1592_Class3_&_Rule1593_Class3_&_Rule1594_Class3: Used 11, Errors 6 (54.55%)
Rule1797_Class2_&_Rule1798_Class2: Used 11, Errors 9 (81.82%)
Rule1802_Class2_&_Rule1803_Class2: Used 11, Errors 4 (36.36%)
Rule1832_Class2_&_Rule1833_Class2: Used 11, Errors 6 (54.55%)
Rule2018_Class2_&_Rule2019_Class2: Used 11, Errors 4 (36.36%)
Rule3274_Class3_&_Rule3275_Class3: Used 11, Errors 11 (100.00%)
Rule3334_Class3_&_Rule3335_Class3: Used 11, Errors 11 (100.00%)
Rule3411_Class3_&_Rule3412_Class3: Used 11, Errors 9 (81.82%)
Rule211_Class7: Used 11, Errors 0 (0.00%)
Rule232_Class2: Used 11, Errors 7 (63.64%)
Rule383_Class7: Used 11, Errors 3 (27.27%)
Rule544_Class3: Used 11, Errors 5 (45.45%)
Rule582_Class3: Used 11, Errors 3 (27.27%)
Rule1041_Class6: Used 11, Errors 0 (0.00%)
Rule1264_Class5: Used 11, Errors 11 (100.00%)
Rule1380_Class6: Used 11, Errors 2 (18.18%)
Rule1629_Class4: Used 11, Errors 0 (0.00%)
Rule1715_Class6: Used 11, Errors 0 (0.00%)
Rule1742_Class6: Used 11, Errors 0 (0.00%)
Rule1748_Class6: Used 11, Errors 0 (0.00%)
Rule1978_Class3: Used 11, Errors 8 (72.73%)
Rule2220_Class3: Used 11, Errors 0 (0.00%)
Rule2265_Class6: Used 11, Errors 2 (18.18%)
Rule2362_Class4: Used 11, Errors 3 (27.27%)
Rule2419_Class6: Used 11, Errors 0 (0.00%)
Rule2583_Class4: Used 11, Errors 7 (63.64%)
Rule2749_Class6: Used 11, Errors 2 (18.18%)
Rule3088_Class6: Used 11, Errors 3 (27.27%)
Rule3255_Class3: Used 11, Errors 9 (81.82%)
Rule3261_Class3: Used 11, Errors 8 (72.73%)
Rule2_Class3_&_Rule3_Class3: Used 10, Errors 5 (50.00%)
Rule1551_Class2_&_Rule1552_Class2: Used 10, Errors 5 (50.00%)
Rule1563_Class3_&_Rule1564_Class3: Used 10, Errors 8 (80.00%)
Rule1579_Class2_&_Rule1580_Class2: Used 10, Errors 5 (50.00%)
Rule1904_Class3_&_Rule1905_Class3: Used 10, Errors 9 (90.00%)
Rule1995_Class3_&_Rule1996_Class3: Used 10, Errors 8 (80.00%)
Rule37_Class2: Used 10, Errors 5 (50.00%)
Rule119_Class6: Used 10, Errors 3 (30.00%)
Rule494_Class2: Used 10, Errors 3 (30.00%)
Rule1055_Class3: Used 10, Errors 5 (50.00%)
Rule1573_Class3: Used 10, Errors 8 (80.00%)
Rule1632_Class4: Used 10, Errors 0 (0.00%)
Rule1635_Class7: Used 10, Errors 0 (0.00%)
Rule1659_Class6: Used 10, Errors 0 (0.00%)
Rule1666_Class6: Used 10, Errors 0 (0.00%)
Rule1836_Class2: Used 10, Errors 7 (70.00%)
Rule2021_Class2: Used 10, Errors 5 (50.00%)
Rule2229_Class3: Used 10, Errors 2 (20.00%)
Rule2304_Class6: Used 10, Errors 4 (40.00%)
Rule2318_Class6: Used 10, Errors 1 (10.00%)
Rule2713_Class6: Used 10, Errors 0 (0.00%)
Rule2800_Class3: Used 10, Errors 1 (10.00%)
Rule2980_Class3: Used 10, Errors 0 (0.00%)
Rule3051_Class3: Used 10, Errors 0 (0.00%)
Rule3085_Class2: Used 10, Errors 0 (0.00%)
Rule3155_Class5: Used 10, Errors 4 (40.00%)
Rule3299_Class3_&_Rule3300_Class3_&_Rule3298_Class3: Used 9, Errors 9 (100.00%)
Rule230_Class3_&_Rule231_Class3: Used 9, Errors 5 (55.56%)
Rule1555_Class2_&_Rule1556_Class2: Used 9, Errors 5 (55.56%)
Rule3266_Class2_&_Rule3267_Class2: Used 9, Errors 8 (88.89%)
Rule3292_Class3_&_Rule3293_Class3: Used 9, Errors 7 (77.78%)
Rule61_Class6: Used 9, Errors 0 (0.00%)
Rule142_Class4: Used 9, Errors 2 (22.22%)
Rule206_Class7: Used 9, Errors 1 (11.11%)
Rule242_Class8: Used 9, Errors 2 (22.22%)
Rule514_Class3: Used 9, Errors 6 (66.67%)
Rule532_Class2: Used 9, Errors 7 (77.78%)
Rule641_Class3: Used 9, Errors 6 (66.67%)
Rule897_Class4: Used 9, Errors 3 (33.33%)
Rule1143_Class6: Used 9, Errors 3 (33.33%)
Rule1202_Class4: Used 9, Errors 4 (44.44%)
Rule1221_Class3: Used 9, Errors 2 (22.22%)
Rule1985_Class3: Used 9, Errors 7 (77.78%)
Rule2029_Class3: Used 9, Errors 0 (0.00%)
Rule2133_Class6: Used 9, Errors 0 (0.00%)
Rule2171_Class6: Used 9, Errors 1 (11.11%)
Rule2235_Class6: Used 9, Errors 0 (0.00%)
Rule2526_Class6: Used 9, Errors 1 (11.11%)
Rule2576_Class6: Used 9, Errors 0 (0.00%)
Rule2637_Class6: Used 9, Errors 1 (11.11%)
Rule2656_Class6: Used 9, Errors 3 (33.33%)
Rule2741_Class4: Used 9, Errors 3 (33.33%)
Rule2746_Class6: Used 9, Errors 4 (44.44%)
Rule2954_Class5: Used 9, Errors 0 (0.00%)
Rule3162_Class6: Used 9, Errors 4 (44.44%)
Rule3243_Class2: Used 9, Errors 4 (44.44%)
Rule3326_Class0: Used 9, Errors 9 (100.00%)
Rule3406_Class1: Used 9, Errors 9 (100.00%)
Rule3215_Class2_&_Rule3216_Class2_&_Rule3214_Class2: Used 8, Errors 3 (37.50%)
Rule1856_Class3_&_Rule1857_Class3: Used 8, Errors 2 (25.00%)
Rule1979_Class2_&_Rule1980_Class2: Used 8, Errors 5 (62.50%)
Rule1986_Class2_&_Rule1987_Class2: Used 8, Errors 5 (62.50%)
Rule3099_Class2_&_Rule3100_Class2: Used 8, Errors 3 (37.50%)
Rule3191_Class4_&_Rule3192_Class4: Used 8, Errors 8 (100.00%)
Rule3250_Class2_&_Rule3251_Class2: Used 8, Errors 4 (50.00%)
Rule3280_Class3_&_Rule3281_Class3: Used 8, Errors 7 (87.50%)
Rule3288_Class4_&_Rule3289_Class4: Used 8, Errors 7 (87.50%)
Rule3290_Class4_&_Rule3291_Class4: Used 8, Errors 8 (100.00%)
Rule3360_Class3_&_Rule3361_Class3: Used 8, Errors 6 (75.00%)
Rule3378_Class3_&_Rule3379_Class3: Used 8, Errors 8 (100.00%)
Rule3384_Class4_&_Rule3385_Class4: Used 8, Errors 7 (87.50%)
Rule67_Class6: Used 8, Errors 0 (0.00%)
Rule71_Class6: Used 8, Errors 1 (12.50%)
Rule365_Class3: Used 8, Errors 4 (50.00%)
Rule601_Class3: Used 8, Errors 0 (0.00%)
Rule612_Class3: Used 8, Errors 2 (25.00%)
Rule634_Class3: Used 8, Errors 0 (0.00%)
Rule1127_Class6: Used 8, Errors 3 (37.50%)
Rule1162_Class4: Used 8, Errors 1 (12.50%)
Rule1362_Class3: Used 8, Errors 1 (12.50%)
Rule1399_Class6: Used 8, Errors 0 (0.00%)
